Temperature, Year,Month
8.70261,1980,January
11.335,1980,February
15.1336,1980,March
23.4625,1980,April
26.7814,1980,May
29.1966,1980,June
29.0086,1980,July
27.8459,1980,August
25.144,1980,September
21.6087,1980,October
15.5323,1980,November
10.9274,1980,December
9.3686,1981,January
11.545,1981,February
16.064,1981,March
22.6124,1981,April
26.6235,1981,May
28.9905,1981,June
28.5818,1981,July
27.4587,1981,August
25.4305,1981,September
20.1296,1981,October
14.6573,1981,November
11.015,1981,December
9.06027,1982,January
9.01251,1982,February
13.7538,1982,March
21.094,1982,April
24.662,1982,May
28.7336,1982,June
29.0474,1982,July
27.6932,1982,August
24.8136,1982,September
21.3597,1982,October
15.0355,1982,November
9.85679,1982,December
8.75392,1983,January
10.0849,1983,February
14.0165,1983,March
19.021,1983,April
25.7748,1983,May
28.7549,1983,June
28.8602,1983,July
28.0313,1983,August
26.3524,1983,September
20.402,1983,October
15.2956,1983,November
9.9931,1983,December
8.05132,1984,January
8.2811,1984,February
17.9296,1984,March
22.3283,1984,April
27.2413,1984,May
29.9365,1984,June
28.3113,1984,July
27.8858,1984,August
24.3607,1984,September
19.4797,1984,October
15.3749,1984,November
9.86472,1984,December
8.85419,1985,January
12.2303,1985,February
17.6502,1985,March
21.6968,1985,April
26.2307,1985,May
29.0758,1985,June
28.5916,1985,July
27.2145,1985,August
25.0969,1985,September
20.2161,1985,October
15.5024,1985,November
10.5554,1985,December
7.94782,1986,January
10.1744,1986,February
14.7358,1986,March
21.6092,1986,April
25.734,1986,May
29.0014,1986,June
28.1351,1986,July
26.7377,1986,August
24.7164,1986,September
21.4811,1986,October
15.6042,1986,November
9.07079,1986,December
9.5601,1987,January
11.8572,1987,February
16.697,1987,March
21.8214,1987,April
24.3446,1987,May
28.4723,1987,June
28.99,1987,July
28.7271,1987,August
26.5997,1987,September
20.9078,1987,October
16.0856,1987,November
11.063,1987,December
10.2191,1988,January
11.958,1988,February
15.9193,1988,March
23.2295,1988,April
27.8879,1988,May
29.5936,1988,June
29.0701,1988,July
27.6918,1988,August
26.0382,1988,September
21.0298,1988,October
16.0212,1988,November
11.6383,1988,December
7.85848,1989,January
9.51724,1989,February
15.2886,1989,March
20.2563,1989,April
25.0662,1989,May
28.3993,1989,June
27.8903,1989,July
26.8069,1989,August
25.2399,1989,September
21.2342,1989,October
15.903,1989,November
11.0325,1989,December
10.5656,1990,January
10.9966,1990,February
14.8798,1990,March
21.2646,1990,April
27.4862,1990,May
29.1841,1990,June
28.9034,1990,July
27.9642,1990,August
26.0024,1990,September
20.4374,1990,October
16.1345,1990,November
10.4213,1990,December
8.2829,1991,January
9.99503,1991,February
15.5038,1991,March
20.5152,1991,April
25.1976,1991,May
29.0619,1991,June
29.3048,1991,July
27.745,1991,August
25.2474,1991,September
20.1716,1991,October
15.4148,1991,November
11.6744,1991,December
9.06016,1992,January
10.5495,1992,February
14.731,1992,March
19.9273,1992,April
24.9313,1992,May
29.2299,1992,June
28.4087,1992,July
26.9621,1992,August
24.2183,1992,September
20.6592,1992,October
15.64,1992,November
12.1524,1992,December
8.77164,1993,January
13.2686,1993,February
14.7936,1993,March
21.6325,1993,April
27.0292,1993,May
28.9541,1993,June
28.2827,1993,July
27.834,1993,August
25.8537,1993,September
20.5806,1993,October
16.4152,1993,November
11.4759,1993,December
9.52572,1994,January
10.397,1994,February
17.6477,1994,March
20.3414,1994,April
26.505,1994,May
29.5395,1994,June
28.2426,1994,July
27.6323,1994,August
23.8697,1994,September
20.1672,1994,October
16.8134,1994,November
10.6588,1994,December
8.65067,1995,January
11.3525,1995,February
14.7091,1995,March
20.0073,1995,April
26.1724,1995,May
29.5621,1995,June
28.7296,1995,July
27.7186,1995,August
25.2638,1995,September
21.6044,1995,October
15.3296,1995,November
10.2254,1995,December
8.36005,1996,January
11.8006,1996,February
16.9391,1996,March
22.0081,1996,April
25.0169,1996,May
28.334,1996,June
28.4034,1996,July
27.0528,1996,August
25.8551,1996,September
20.3651,1996,October
14.2503,1996,November
9.9332,1996,December
8.51052,1997,January
11.0733,1997,February
15.5146,1997,March
19.9341,1997,April
24.0034,1997,May
27.8558,1997,June
29.2669,1997,July
27.3021,1997,August
25.7255,1997,September
19.8213,1997,October
14.7835,1997,November
9.54585,1997,December
9.01244,1998,January
10.9107,1998,February
15.6202,1998,March
22.8289,1998,April
26.6166,1998,May
28.533,1998,June
29.0016,1998,July
28.3712,1998,August
25.8367,1998,September
21.7597,1998,October
15.5877,1998,November
11.5113,1998,December
8.62707,1999,January
11.9247,1999,February
16.6285,1999,March
23.2143,1999,April
26.8752,1999,May
29.1077,1999,June
29.2285,1999,July
27.6811,1999,August
26.6208,1999,September
22.1888,1999,October
16.8504,1999,November
11.3234,1999,December
9.58937,2000,January
10.2385,2000,February
16.0165,2000,March
24.0088,2000,April
28.7896,2000,May
28.9764,2000,June
28.2836,2000,July
27.6537,2000,August
25.4155,2000,September
22.0832,2000,October
15.753,2000,November
11.5061,2000,December
8.57782,2001,January
11.7034,2001,February
16.8941,2001,March
22.5681,2001,April
28.3372,2001,May
28.9762,2001,June
28.5291,2001,July
27.7208,2001,August
25.2692,2001,September
21.9897,2001,October
16.3373,2001,November
12.4597,2001,December
9.43203,2002,January
10.872,2002,February
17.412,2002,March
23.1135,2002,April
27.8393,2002,May
29.4699,2002,June
29.0707,2002,July
28.1767,2002,August
24.792,2002,September
21.9352,2002,October
16.2022,2002,November
11.368,2002,December
9.47909,2003,January
11.7875,2003,February
16.4475,2003,March
22.7893,2003,April
25.4632,2003,May
29.6845,2003,June
28.4658,2003,July
27.7522,2003,August
25.4462,2003,September
21.1864,2003,October
14.7137,2003,November
10.7938,2003,December
9.87077,2004,January
12.7219,2004,February
19.6016,2004,March
23.8518,2004,April
26.8944,2004,May
28.8135,2004,June
28.9904,2004,July
27.7039,2004,August
25.7541,2004,September
20.0202,2004,October
16.6354,2004,November
11.7563,2004,December
8.35979,2005,January
9.7477,2005,February
16.8687,2005,March
21.5074,2005,April
24.9898,2005,May
29.4413,2005,June
28.6651,2005,July
27.8629,2005,August
26.276,2005,September
21.7352,2005,October
15.838,2005,November
10.5205,2005,December
8.68721,2006,January
14.6439,2006,February
16.7655,2006,March
22.5519,2006,April
28.7866,2006,May
28.4014,2006,June
29.4468,2006,July
27.5133,2006,August
25.5114,2006,September
22.9712,2006,October
16.4192,2006,November
10.2379,2006,December
9.10904,2007,January
12.3171,2007,February
15.9347,2007,March
24.3705,2007,April
26.7675,2007,May
28.8231,2007,June
28.6904,2007,July
28.0883,2007,August
25.7563,2007,September
20.3909,2007,October
16.9521,2007,November
10.2164,2007,December
6.83578,2008,January
9.89503,2008,February
18.9894,2008,March
21.8502,2008,April
27.0943,2008,May
29.8011,2008,June
29.0324,2008,July
27.0904,2008,August
25.5409,2008,September
22.4863,2008,October
15.8319,2008,November
11.7252,2008,December
10.0305,2009,January
13.0069,2009,February
17.7157,2009,March
21.516,2009,April
27.5519,2009,May
28.5178,2009,June
29.3437,2009,July
29.0663,2009,August
26.1628,2009,September
21.3392,2009,October
15.3006,2009,November
11.3757,2009,December
10.2605,2010,January
11.7885,2010,February
19.7456,2010,March
24.6826,2010,April
27.2414,2010,May
28.5066,2010,June
28.729,2010,July
27.6291,2010,August
25.0014,2010,September
22.5987,2010,October
15.8396,2010,November
9.97607,2010,December
8.38794,2011,January
11.4127,2011,February
17.1996,2011,March
21.8318,2011,April
28.1891,2011,May
29.9848,2011,June
28.8677,2011,July
28.0998,2011,August
25.3481,2011,September
21.7935,2011,October
17.3903,2011,November
10.1934,2011,December
7.89622,2012,January
9.10051,2012,February
16.0177,2012,March
21.7783,2012,April
26.3565,2012,May
29.0143,2012,June
29.6738,2012,July
27.964,2012,August
25.1985,2012,September
20.9427,2012,October
15.7487,2012,November
10.9512,2012,December
9.2059,2013,January
10.7169,2013,February
14.7599,2013,March
22.0156,2013,April
27.2735,2013,May
29.8533,2013,June
29.5909,2013,July
27.7081,2013,August
26.8228,2013,September
23.1727,2013,October
15.7483,2013,November
10.9647,2013,December
9.22441,2014,January
10.135,2014,February
15.858,2014,March
22.0136,2014,April
25.803,2014,May
30.3058,2014,June
29.8137,2014,July
28.506,2014,August
26.3865,2014,September
22.2904,2014,October
15.8981,2014,November
10.0999,2014,December
9.50221,2015,January
10.567,2015,February
15.8797,2015,March
23.0622,2015,April
27.1174,2015,May
29.4065,2015,June
28.7141,2015,July
27.7268,2015,August
25.3179,2015,September
22.379,2015,October
16.2182,2015,November
10.8177,2015,December
10.7526,2016,January
12.5766,2016,February
17.29,2016,March
23.092,2016,April
27.9996,2016,May
30.2144,2016,June
29.6574,2016,July
27.6332,2016,August
26.7179,2016,September
22.3982,2016,October
15.7672,2016,November
12.8763,2016,December